"unigram","bigram","trigram","quadgram","freq"
"the","end","of","the",320
"the","rest","of","the",283
"thanks","for","the","follow",271
"at","the","end","of",259
"for","the","first","time",243
"at","the","same","time",197
"is","going","to","be",195
"when","it","comes","to",185
"one","of","the","most",170
"is","one","of","the",165
"to","be","able","to",163
"in","the","middle","of",158
"cant","wait","to","see",149
"thank","you","for","the",145
"going","to","be","a",144
"thanks","for","the","rt",135
"if","you","want","to",126
"one","of","the","best",118
"i","dont","want","to",104
"i","cant","wait","to",101
"thank","you","so","much",101
"i","am","going","to",100
"by","the","end","of",99
"in","the","united","states",98
"its","going","to","be",97
"i","was","going","to",96
"the","top","of","the",95
"a","lot","of","people",93
"the","middle","of","the",91
"i","would","like","to",90
"for","the","rest","of",89
"as","well","as","the",88
"on","the","other","hand",86
"was","one","of","the",85
"one","of","my","favorite",83
"what","do","you","think",82
"a","bit","of","a",81
"i","want","to","be",79
"a","member","of","the",78
"the","first","time","in",77
"at","the","university","of",74
"have","a","lot","of",73
"as","a","result","of",72
"as","much","as","i",72
"have","a","great","day",70
"on","my","way","to",70
"thanks","so","much","for",70
"will","be","able","to",69
"i","would","love","to",68
"said","in","a","statement",68
"to","go","to","the",67
"had","a","great","time",66
"i","just","want","to",65
"be","a","part","of",64
"happy","mothers","day","to",64
"i","wish","i","could",64
"if","you","have","a",64
"was","going","to","be",64
"i","thought","it","was",63
"the","bottom","of","the",63
"going","to","have","to",62
"i","dont","know","what",62
"in","front","of","the",62
"nothing","to","do","with",61
"a","little","bit","of",60
"as","part","of","the",60
"hope","you","have","a",60
"i","was","able","to",60
"i","feel","like","i",58
"i","have","no","idea",58
"hope","to","see","you",57
"i","dont","know","if",57
"to","get","out","of",56
"at","the","top","of",55
"have","a","great","weekend",55
"i","have","to","say",55
"in","the","block","of",55
"let","me","know","if",55
"to","go","back","to",55
"are","you","going","to",54
"for","a","long","time",54
"the","fact","that","the",54
"a","few","years","ago",53
"are","going","to","be",53
"to","be","a","part",53
"for","the","most","part",52
"i","need","to","get",52
"in","the","first","place",52
"thanks","for","the","mention",52
"the","side","of","the",52
"this","is","the","first",52
"as","well","as","a",51
"the","back","of","the",51
"on","the","other","side",50
"there","are","so","many",50
"you","dont","have","to",50
"a","lot","of","fun",49
"i","look","forward","to",49
"in","the","midst","of",49
"looking","forward","to","the",49
"turned","out","to","be",49
"we","are","going","to",49
"a","chance","to","win",48
"there","will","be","a",48
"at","the","time","of",47
"end","of","the","day",47
"in","addition","to","the",47
"so","much","for","the",47
"the","fact","that","i",47
"the","other","side","of",47
"to","be","in","the",47
"as","part","of","a",46
"i","had","no","idea",46
"in","the","case","of",46
"in","the","form","of",46
"what","are","you","doing",46
"you","are","going","to",46
"a","few","weeks","ago",45
"in","the","first","half",45
"the","beginning","of","the",45
"the","best","way","to",45
"you","want","to","be",45
"find","a","way","to",44
"im","going","to","be",44
"thanks","for","the","ff",44
"the","first","time","i",44
"this","is","one","of",44
"a","lot","of","the",43
"most","of","the","time",43
"on","top","of","the",43
"one","of","the","few",43
"that","awkward","moment","when",43
